"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US21001","Adair County, Kentucky","19304","*****","18948","*****","18037","12","693","163","27","42","19","22","0","18","6","12","166","145","8","16","158","144","356","*****","220","121","7","10","0","18","0","18","0","18","120","124","9","16","9","16","0","18",
"0500000US21003","Allen County, Kentucky","20628","*****","20231","*****","19680","21","392","100","0","21","41","44","0","21","0","21","118","82","0","21","118","82","397","*****","152","109","0","21","8","19","0","21","0","21","206","95","31","52","31","52","0","21",
"0500000US21005","Anderson County, Kentucky","22017","*****","21651","*****","20746","21","518","166","0","21","162","138","0","21","0","21","225","111","62","88","163","119","366","*****","252","81","0","21","0","21","0","21","0","21","40","66","74","64","23","28","51","73",
"0500000US21007","Ballard County, Kentucky","8152","*****","8052","*****","7583","3","318","45","20","20","31","12","0","16","3","5","97","41","0","16","97","41","100","*****","47","25","0","16","15","18","2","3","0","16","6","9","30","21","27","21","3","5",
"0500000US21009","Barren County, Kentucky","43418","*****","42099","*****","39383","38","1674","168","96","76","207","111","0","24","22","38","717","189","0","24","717","189","1319","*****","1034","146","20","34","0","24","0","24","0","24","143","108","122","92","99","86","23","30",
"0500000US21011","Bath County, Kentucky","12189","*****","12003","*****","11629","18","126","41","12","19","35","37","0","18","0","18","201","44","0","18","201","44","186","*****","89","39","0","18","0","18","0","18","0","18","96","39","1","3","0","18","1","3",
"0500000US21013","Bell County, Kentucky","27469","*****","27389","95","25951","21","908","229","20","20","55","57","0","21","39","64","416","206","0","21","416","206","80","95","65","87","4","7","0","21","0","21","0","21","1","3","10","15","10","15","0","21",
"0500000US21015","Boone County, Kentucky","127682","*****","122481","*****","112914","27","3823","383","124","104","2954","304","0","27","25","27","2641","503","0","27","2641","503","5201","*****","3727","375","84","68","19","30","0","27","0","27","1284","350","87","122","0","27","87","122",
"0500000US21017","Bourbon County, Kentucky","20017","*****","18683","*****","17050","21","1445","93","0","21","66","99","0","21","0","21","122","74","0","21","122","74","1334","*****","1042","170","0","21","9","13","0","21","0","21","283","170","0","21","0","21","0","21",
